P. aeruginosa population tobramycin MICs in Mueller Hinton Broth (mg/L),,,,,,,,,,,,,
"lifestyle, antibiotic exposure, replicate lineage",ancestor,"planktonic, no drug, 1","planktonic, no drug, 2","planktonic, no drug, 3","planktonic, inc TOB, 1","planktonic, inc TOB, 2","planktonic, inc TOB, 3","biofilm, no drug, 1","biofilm, no drug, 2","biofilm, no drug, 3","biofilm, inc TOB, 1","biofilm, inc TOB, 2","biofilm, inc TOB, 3"
,0.5,0.5,0.5,0.5,8,8,4,0.5,0.5,1,8,8,8
,0.5,0.5,0.5,0.5,8,8,4,0.5,0.5,1,8,8,8
,0.5,0.5,0.5,0.5,8,8,4,0.5,0.5,1,8,8,8
,,,,,,,,,,,,,
A. baumannii population tobramycin MICs in Mueller Hinton Broth (mg/L),,,,,,,,,,,,,
"lifestyle, antibiotic exposure, replicate lineage",ancestor,"planktonic, no drug, 1","planktonic, no drug, 2","planktonic, no drug, 3","planktonic, inc TOB, 1","planktonic, inc TOB, 2","planktonic, inc TOB, 3","biofilm, no drug, 1","biofilm, no drug, 2","biofilm, no drug, 3","biofilm, inc TOB, 1","biofilm, inc TOB, 2","biofilm, inc TOB, 3"
,1,1,1,1,16,16,16,1,1,1,8,32,16
,1,1,1,1,16,16,16,1,1,1,8,16,16
,1,1,1,1,16,16,32,1,1,1,16,16,16
