Sample,Seq Id,Position,Reads (Cov),Reads (Cov),Score,Skew,Freq,Annotation,Gene,Product
breseq_21,NC_009083,"""11236=""",92 (0.030),2314 (0.790),163/220,NT,87.1%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",605 (0.190),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_21,NC_009083,"""=11251""",94 (0.030),1240 (0.420),149/220,NT,78.3%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",605 (0.190),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_21,NZ_CP012004,"""1389363=""",2 (0.010),148 (0.920),74/252,NT,65.9%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",151 (0.940),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_21,NZ_CP012004,"""=1389371""",1 (0.010),96 (0.600),51/250,NT,57.0%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",144 (0.900),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_21,NZ_CP012004,"""1390909=""",230 (1.420),12 (0.070),11/252,NT,5.9%,coding(432/549nt),ACX60_RS06485,protein CsuA
,NZ_CP012005,"""=132540""",151 (0.940),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_21,NZ_CP012004,"""2846783=""",0 (0.000),160 (1.010),75/246,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_21,NZ_CP012004,"""=2846790""",0 (0.000),151 (0.950),71/248,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_21,NZ_CP012004,"""3393422=""",136 (0.840),8 (0.050),8/250,NT,5.6%,coding(351/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""=3613868""",NA (NA),,,,,coding(30/684nt),ACX60_RS17050,hypothetical protein
breseq_22,NC_009083,"""11236=""",154 (0.040),3228 (0.790),179/218,NT,86.3%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",891 (0.200),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_22,NC_009083,"""=11251""",159 (0.040),1623 (0.400),169/218,NT,75.9%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",891 (0.200),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_22,NZ_CP012004,"""1389363=""",0 (0.000),193 (0.840),81/250,NT,58.5%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",274 (1.140),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_22,NZ_CP012004,"""=1389371""",7 (0.030),104 (0.460),51/248,NT,51.7%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
