"","Sample","Seq.Id","Position","Reads..Cov.","Reads..Cov..1","Score","Skew","Freq","Annotation","Gene","Product","2.Sample","2.Seq.Id","2.Position","2.Reads..Cov.","2.Reads..Cov..1","2.Score","2.Skew","2.Freq","2.Annotation","2.Gene","2.Product","Population","Model"
"1",1,"NC_008463","""3175697=""","617 (2.950)","589 (3.150)","136/216","NT","58.3%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","293 (1.570)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 6, Pop 1, Plank, No AB","BEAD"
"2",1,"NC_008463","""4345126=""","381 (1.820)","30 (0.160)","21/222","NT","10.3%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","174 (0.910)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 6, Pop 1, Plank, No AB","BEAD"
"3",2,"NC_008463","""3175697=""","466 (3.130)","396 (2.970)","115/222","NT","54.3%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","249 (1.870)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 6, Pop 2, Plank, No AB","BEAD"
"4",2,"NC_008463","""4345126=""","280 (1.880)","18 (0.130)","16/228","NT","7.9%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","160 (1.170)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 6, Pop 2, Plank, No AB","BEAD"
"5",3,"NC_008463","""4345126=""","239 (1.610)","12 (0.090)","11/226","NT","6.2%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","143 (1.050)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 6, Pop 3, Plank, No AB","BEAD"
"6",3,"NC_008463","""3175697=""","471 (3.180)","408 (3.080)","98/220","NT","55.1%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","243 (1.830)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 6, Pop 3, Plank, No AB","BEAD"
"7",4,"NC_008463","""3175697=""","543 (3.310)","473 (3.220)","115/220","NT","56.2%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","251 (1.710)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 12, Pop 1, Plank, No AB","BEAD"
"8",4,"NC_008463","""4345126=""","296 (1.800)","17 (0.110)","15/226","NT","7.1%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","172 (1.140)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 12, Pop 1, Plank, No AB","BEAD"
"9",5,"NC_008463","""3175697=""","557 (3.360)","454 (3.060)","110/220","NT","54.5%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","261 (1.760)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 12, Pop 2, Plank, No AB","BEAD"
"10",5,"NC_008463","""4345126=""","269 (1.620)","12 (0.080)","9/226","NT","5.5%","intergenic(45/+61)","PA14_RS19845/PA14_RS19850","tRNA 2thiocytidine(32) synthetase TtcA/integrase",NA,"NC_008463","""=4355790""","167 (1.100)","","","","","intergenic(+317/59)","PA14_RS31160/PA14_RS19915","hypothetical protein/hypothetical protein","Day 12, Pop 2, Plank, No AB","BEAD"
"11",5,"NC_008463","""=4067529""","96 (0.580)","9 (0.060)","5/240","NT","8.6%","coding(366/1137nt)","PA14_RS18560","flagellar biosynthesis protein FlhB",NA,"NC_008463","""4090174=""","98 (0.610)","","","","","coding(101/1590nt)","PA14_RS18670","hypothetical protein","Day 12, Pop 2, Plank, No AB","BEAD"
"12",5,"NC_008463","""=4081494""","118 (0.710)","7 (0.050)","6/230","NT","5.5%","intergenic(78/103)","PA14_RS18630/PA14_RS18635","RND transporter MFP subunit/hypothetical protein",NA,"NC_008463","""4130628=""","128 (0.830)","","","","","coding(520/534nt)","PA14_RS18850","GNAT family Nacetyltransferase","Day 12, Pop 2, Plank, No AB","BEAD"
"13",6,"NC_008463","""3175697=""","745 (3.090)","593 (2.750)","132/220","NT","53.4%","intergenic(146/+106)","PA14_RS30510/PA14_RS14515","hypothetical protein/hypothetical protein",NA,"NC_008463","""=3177289""","370 (1.710)","","","","","intergenic(69/218)","PA14_RS14525/PA14_RS14530","hypothetical protein/Tn3 family transposase","Day 12, Pop 3, Plank, No AB","BEAD"
"14",6,"NC_008463","""=4071618""","302 (1.250)","31 (0.130)","18/242","NT","11.7%","coding(60/972nt)","PA14_RS18590","flagellar motor switch protein FliM",NA,"NC_008463","""4112326=""","173 (0.730)","","","","","coding(1138/2424nt)","PA14_RS18760","mechanosensitive ion channel protein MscS","Day 12, Pop 3, Plank, No AB","BEAD"
